SKU,GCFerrules Part #,Varian Part #,J&W Liner #,Agilent Part #,Phenomenex Part #,Restek Part #,SGE Liner #,CRS Part #,Perkin Elmer Part #,SGE Part #,Similar to,Name,Description,Categories,Removes,Volume,Pressure Rating,Tube Material,Dimensions,Qty/pk,Price,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s),Attribute 6 name,Attribute 6 value(s),Attribute 7 name,Attribute 7 value(s)
30001,30001,,,,,21991,,,,,21991,Hydrocarbon Gas Purifier,"• Conditions up to ten cylinders of 99.999% purity (200 ft3 /ea) to less than 1 ppm Hydrocarbon
• Spherical high capacity materials
• Pressure rating: 250 PSI
• 1/8” Brass Fittings
• Volume: 120cc Size: 1.30” OD x 11.0” L
• Spun Aluminum Chamber",GC Purifiers,Hydrocarbon,120cc,250 PSI,Aluminum,"1.3"" OD x 11"" L",1,$85.00,"FilterAluminum_sm.jpg, FilterAluminum.jpg",Removes,Hydrocarbon,Volume,120cc,Pressure Rating,250 PSI,Tube Material,Aluminum,Dimensions,"1.3"" OD x 11"" L",Qty/pk,1,Similar to,21991
30001-5,30001-5,,,,,21991,,,,,21991,Hydrocarbon Gas Purifier,"• Conditions up to ten cylinders of 99.999% purity (200 ft3 /ea) to less than 1 ppm Hydrocarbon
• Spherical high capacity materials
• Pressure rating: 250 PSI
• 1/8” Brass Fittings
• Volume: 120cc Size: 1.30” OD x 11.0” L
• Spun Aluminum Chamber",GC Purifiers,Hydrocarbon,120cc,250 PSI,Aluminum,"1.3"" OD x 11"" L",5,$400.00,"FilterAluminum_sm.jpg, FilterAluminum.jpg",Removes,Hydrocarbon,Volume,120cc,Pressure Rating,250 PSI,Tube Material,Aluminum,Dimensions,"1.3"" OD x 11"" L",Qty/pk,5,Similar to,21991
30002,30002,,,,,21997,,,,,21997,H2O Gas Purifier,"• Conditions up to ten cylinders of 99.999% purity (200 ft3 /ea) to less than 1 ppm Water
• Spherical high capacity materials
• Pressure rating: 250 PSI
• 1/8” Brass Fittings
• Volume: 120cc Size: 1.30” OD x 11.0” L
• Spun Aluminum Chamber",GC Purifiers,H2O,120cc,250 PSI,Aluminum,"1.3"" OD x 11"" L",1,$85.00,"FilterAluminum_sm.jpg, FilterAluminum.jpg",Removes,H2O,Volume,120cc,Pressure Rating,250 PSI,Tube Material,Aluminum,Dimensions,"1.3"" OD x 11"" L",Qty/pk,1,Similar to,21997
30002-5,30002-5,,,,,21997,,,,,21997,H2O Gas Purifier,"• Conditions up to ten cylinders of 99.999% purity (200 ft3 /ea) to less than 1 ppm Water
• Spherical high capacity materials
• Pressure rating: 250 PSI
• 1/8” Brass Fittings
• Volume: 120cc Size: 1.30” OD x 11.0” L
• Spun Aluminum Chamber",GC Purifiers,H2O,120cc,250 PSI,Aluminum,"1.3"" OD x 11"" L",5,$400.00,"FilterAluminum_sm.jpg, FilterAluminum.jpg",Removes,H2O,Volume,120cc,Pressure Rating,250 PSI,Tube Material,Aluminum,Dimensions,"1.3"" OD x 11"" L",Qty/pk,5,Similar to,21997
30004,30004,,,,,,,,,,,Oxygen/Hydrocarbon Gas Purifier,"• Conditions up to six cylinders of 99.999% purity (200 ft3 /ea) to less than 1 ppm O2 and Hydrocarbon
• Spherical high capacity materials
• Pressure rating : 250 PSI
• 1/8” Brass Fittings
• Volume: 120cc Size: 1.30” OD x 11.0” L
• Spun Aluminum Chamber",GC Purifiers,"Oxygen, Hydrocarbon",120cc,250 PSI,Aluminum,"1.3"" OD x 11"" L",1,$85.00,"FilterAluminum_sm.jpg, FilterAluminum.jpg",Removes,"Oxygen, Hydrocarbon",Volume,120cc,Pressure Rating,250 PSI,Tube Material,Aluminum,Dimensions,"1.3"" OD x 11"" L",Qty/pk,1,Similar to,
30004-5,30004-5,,,,,,,,,,,Oxygen/Hydrocarbon Gas Purifier,"• Conditions up to six cylinders of 99.999% purity (200 ft3 /ea) to less than 1 ppm O2 and Hydrocarbon
• Spherical high capacity materials
• Pressure rating : 250 PSI
• 1/8” Brass Fittings
• Volume: 120cc Size: 1.30” OD x 11.0” L
• Spun Aluminum Chamber",GC Purifiers,"Oxygen, Hydrocarbon",120cc,250 PSI,Aluminum,"1.3"" OD x 11"" L",5,$400.00,"FilterAluminum_sm.jpg, FilterAluminum.jpg",Removes,"Oxygen, Hydrocarbon",Volume,120cc,Pressure Rating,250 PSI,Tube Material,Aluminum,Dimensions,"1.3"" OD x 11"" L",Qty/pk,5,Similar to,
30005,30005,,,,,,,,,,,Oxygen/H2O Gas Purifier,"• Conditions up to five cylinders of 99.999% purity (200 ft3 /ea) to less than 1 ppm O2 and H2O
• Spherical high capacity materials
• Pressure rating: 250 PSI
• 1/8” Brass Fittings
• Volume: 120cc Size: 1.30” OD x 11.0” L
• Spun Aluminum Chamber",GC Purifiers,"Oxygen, H2O",120cc,250 PSI,Aluminum,"1.3"" OD x 11"" L",1,$85.00,"FilterAluminum_sm.jpg, FilterAluminum.jpg",Removes,"Oxygen, H2O",Volume,120cc,Pressure Rating,250 PSI,Tube Material,Aluminum,Dimensions,"1.3"" OD x 11"" L",Qty/pk,1,Similar to,
30005-5,30005-5,,,,,,,,,,,Oxygen/H2O Gas Purifier,"• Conditions up to five cylinders of 99.999% purity (200 ft3 /ea) to less than 1 ppm O2 and H2O
• Spherical high capacity materials
• Pressure rating: 250 PSI
• 1/8” Brass Fittings
• Volume: 120cc Size: 1.30” OD x 11.0” L
• Spun Aluminum Chamber",GC Purifiers,"Oxygen, H2O",120cc,250 PSI,Aluminum,"1.3"" OD x 11"" L",5,$400.00,"FilterAluminum_sm.jpg, FilterAluminum.jpg",Removes,"Oxygen, H2O",Volume,120cc,Pressure Rating,250 PSI,Tube Material,Aluminum,Dimensions,"1.3"" OD x 11"" L",Qty/pk,5,Similar to,
30007,30007,,,,,,,,,,,GcLite™ 200™ Hydrocarbon/Water Gas Purifier w/ Moisture Indicator,"• Moisture indicator changes color when saturated
• Removes Moisture & Hydrocarbons
• Made from Clear Lexan®
•GcLite™ Spherical high capacity materials
• 1/8” Brass Fitting
• Volume: 200cc Size: 2” OD x 10.25” L
• Pressure Rating: 100 PSI
• Removes: H2O, HCl, SO2, NO2, H2S, CO2, Oil, & Small Aliphatics",GC Purifiers,"Hydrocarbon, H2O",200cc,100 PSI,Lexan,"2"" OD x 10.25"" L",1,$75.00,"filter30007_sm.jpg, filter30007.jpg",Removes,"Hydrocarbon, H2O",Volume,200cc,Pressure Rating,100 PSI,Tube Material,Lexan,Dimensions,"2"" OD x 10.25"" L",Qty/pk,1,Similar to,
30007-5,30007-5,,,,,,,,,,,GcLite™ 200 Hydrocarbon/Water Gas Purifier w/ Moisture Indicator,"• Moisture indicator changes color when saturated
• Removes Moisture & Hydrocarbons
• Made from Clear Lexan®
• GcLite™ Spherical high capacity materials
• 1/8” Brass Fitting
• Volume: 200cc Size: 2” OD x 10.25” L
• Pressure Rating: 100 PSI
• Removes: H2O, HCl, SO2, NO2, H2S, CO2, Oil, & Small Aliphatics",GC Purifiers,"Hydrocarbon, H2O",200cc,100 PSI,Lexan,"2"" OD x 10.25"" L",5,$350.00,"filter30007_sm.jpg, filter30007.jpg",Removes,"Hydrocarbon, H2O",Volume,200cc,Pressure Rating,100 PSI,Tube Material,Lexan,Dimensions,"2"" OD x 10.25"" L",Qty/pk,5,Similar to,
