SKU,Name,Description,Price,Categories,Sub-Category,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s),Attribute 6 name,Attribute 6 value(s),Attribute 7 name,Attribute 7 value(s),Attribute 8 name,Attribute 8 value(s),Attribute 9 name,Attribute 9 value(s),Attribute 10 name,Attribute 10 value(s),Attribute 11 name,Attribute 11 value(s),Attribute 12 name,Attribute 12 value(s),Attribute 13 name,Attribute 13 value(s),Attribute 14 name,Attribute 14 value(s) In,Attribute 15 name,Attribute 15 value(s) In,Attribute 16 name,Attribute 16 value(s) In,Attribute 17 name,Attribute 17 value(s) In
50001,Polypropylene Gridded Vial Storage Box,"• Holds (100) 12 x 32 mm vials • Hinged lid w/ secure snap closure • Alpha-Numeric numbers/letters on grids for easy sample ID • Clear polypropylene for easy identification • Stackable w/ writing panel on lid front for ID • Rugged, compact design, and raised edges for non-slip storage • Rated at -90°C for freezer storage",68.6,"Vials, Caps, Seals, Inserts",Accessories,"Empty100VialCase_sm.jpg, Empty100VialCase.jpg",Vial Size,,Top Style,,Cap/Seal Size,,Cap Material,,Cap Color,,Seal Material,,Insert Size,,Mouth Style,,Vial Material,,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,,Qty/pk,5
190010205,"Vial Kit - Clear Glass 2.0ml Screw Top Wide Opening Vial: PreInstalled Screw Cap, 10mm Red Polypropylene w/ PTFE/Silicone Septa, Assembled in Polypropylene Hinged Box",• 10-425 mm threaded cap • Ships with caps screwed onto vials & placed in clear polypropylene hinged storage box • Type 1 borosilicate glass • Clear Rugged Polypropylene Case Holds 100 12 x 32mm Vials • Alpha-Numeric Numbers and Letters on Grids of Case for Easy Sample ID • Case is Stackable with Writing Panel on Lid Front for ID • Case is Ideal for Laboratory and Freezer Storage – Rated at -90 ° C,47.6,"Vials, Caps, Seals, Inserts",Vial Kits,"Vials_100VialCase_sm.jpg, Vials_100VialCase.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Screw Top,Cap/Seal Size,10 mm,Cap Material,Polypropylene,Cap Color,Red,Seal Material,PTFE/Silicone,Insert Size,,Mouth Style,Wide Opening,Vial Material,Clear Glass,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,Red/White,Qty/pk,100
390614901,"Septa, 8mm Blue Teflon/Silicone",• Fits Standard opening 8-425mm caps • Post baked Teflon/silicone septa for increased performance,11.583,"Vials, Caps, Seals, Inserts",Caps/Seals,,Vial Size,,Top Style,Screw Top,Cap/Seal Size,8 mm,Cap Material,,Cap Color,,Seal Material,PTFE/Silicone,Insert Size,,Mouth Style,,Vial Material,,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,Blue/White,Qty/pk,144
392604210,"Vial Kit - Clear Glass 2.0ml Screw Top Standard Opening Vial; Screw Cap, 8mm White Polypropylene w/ Red PTFE/Silicone Septa","• Lot to lot quality assurance with lot number coding • Type 1 borosilicate glass • Packaged in a sturdy, easy open, one-piece clamshell tray • 8-425 Black Screw caps • Post baked Teflon/silicone septa for increased performance",42,"Vials, Caps, Seals, Inserts",Vial Kits,"clearstd8mmwhiteptfesil_sm.jpg, clearstd8mmwhiteptfesil.jpg, 8mmclearvials, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Screw Top,Cap/Seal Size,8 mm,Cap Material,Polypropylene,Cap Color,White,Seal Material,PTFE/Silicone,Insert Size,,Mouth Style,Standard Opening,Vial Material,Clear Glass,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,Red/White,Qty/pk,144
392611501,"Vial Kit - Clear Glass 2.0ml Crimp Top Standard Opening Vial; Crimp Cap, 11mm Silver Aluminum w/ PTFE/Red Rubber Septa","• Lot to lot quality assurance with lot number coding • Type 1 borosilicate glass • Packaged in a sturdy, easy open, one-piece clamshell tray • 11mm aluminum open hole crimp caps • Post baked Teflon/silicone septa for increased performance",,"Vials, Caps, Seals, Inserts",Vial Kits,"clearcrimpstandardrubber_sm.jpg, clearcrimpstandardrubber.jpg, VialKit_CrimpTopWide.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Crimp Top,Cap/Seal Size,11 mm,Cap Material,Aluminum,Cap Color,Silver,Seal Material,PTFE/Red Rubber,Insert Size,,Mouth Style,Standard Opening,Vial Material,Clear Glass,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,"A4957-010, A4957-100",Seal Color,Clear/Orange,Qty/pk,100
392611502,"Vial Kit - Amber Glass 2.0ml Crimp Top Standard Opening Vial; Crimp Cap, 11mm Silver Aluminum w/ PTFE/Red Rubber Septa","• Lot to lot quality assurance with lot number coding • Type 1 borosilicate glass • Packaged in a sturdy, easy open, one-piece clamshell tray • 11mm aluminum open hole crimp caps • Post baked Teflon/silicone septa for increased performance",,"Vials, Caps, Seals, Inserts",Vial Kits,"clearcrimpstandardrubber_sm.jpg, clearcrimpstandardrubber.jpg, VialKit_CrimpTopWide.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Crimp Top,Cap/Seal Size,11 mm,Cap Material,Aluminum,Cap Color,Silver,Seal Material,PTFE/Red Rubber,Insert Size,,Mouth Style,Standard Opening,Vial Material,Amber Glass,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,"A4965-010, A4965-100",Seal Color,Clear/Orange,Qty/pk,100
392611503,"Vial Kit - Clear 2.0ml Crimp Standard; 100μL Inserts Polymer Spring, Conical Precision Point Interior; Cap, 11mm Silver Aluminum, PTFE/Red Rubber Septa","• Lot to lot quality assurance with lot number coding • Type 1 borosilicate glass • Packaged in a sturdy, easy open, one-piece clamshell tray • 11mm aluminum open hole crimp caps • Post baked Teflon/silicone septa for increased performance",84,"Vials, Caps, Seals, Inserts",Vial Kits,"clearcrimpstandardrubberinsertspring_sm.jpg, clearcrimpstandardrubberinsertspring.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Crimp Top,Cap/Seal Size,11 mm,Cap Material,Aluminum,Cap Color,Silver,Seal Material,PTFE/Red Rubber,Insert Size,100μL,Mouth Style,Standard Opening,Vial Material,Clear Glass,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,Clear/Orange,Qty/pk,100
392611504,"Vial Kit - Clear 2.0ml Crimp Standard; 100μL Inserts, Conical Point Interior (No Spring Required); Cap, 11mm Silver Aluminum w/ PTFE/Red Rubber Septa","• Lot to lot quality assurance with lot number coding • Type 1 borosilicate glass • Packaged in a sturdy, easy open, one-piece clamshell tray • 11mm aluminum open hole crimp caps • Post baked Teflon/silicone septa for increased performance",46.2,"Vials, Caps, Seals, Inserts",Vial Kits,"clearcrimpstandardrubberinsert_sm.jpg, clearcrimpstandardrubberinsert.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Crimp Top,Cap/Seal Size,11 mm,Cap Material,Aluminum,Cap Color,Silver,Seal Material,PTFE/Red Rubber,Insert Size,100μL,Mouth Style,Standard Opening,Vial Material,Clear Glass,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,Clear/Orange,Qty/pk,100
392611505,"Vial Kit - Amber 2.0ml Crimp Standard; 100μL Inserts Polymer Spring, Conical Precision Point Interior; Cap, 11mm Silver Aluminum, PTFE/Red Rubber Septa","• Lot to lot quality assurance with lot number coding • Type 1 borosilicate glass • Packaged in a sturdy, easy open, one-piece clamshell tray • 11mm aluminum open hole crimp caps • Post baked Teflon/silicone septa for increased performance",84,"Vials, Caps, Seals, Inserts",Vial Kits,"ambercrimpstandardrubberinsertspring_sm.jpg, ambercrimpstandardrubberinsertspring.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Crimp Top,Cap/Seal Size,11 mm,Cap Material,Aluminum,Cap Color,Silver,Seal Material,PTFE/Red Rubber,Insert Size,100μL,Mouth Style,Standard Opening,Vial Material,Amber Glass,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,Clear/Orange,Qty/pk,100
392611506,"Vial Kit - Clear Glass 2.0ml Silanized Crimp Top Standard Opening Vial; Crimp Cap, 11mm Silver Aluminum w/ PTFE/Red Rubber Septa","• Lot to lot quality assurance with lot number coding • Type 1 borosilicate glass • Packaged in a sturdy, easy open, one-piece clamshell tray • 11mm aluminum open hole crimp caps • Post baked Teflon/silicone septa for increased performance",40.18,"Vials, Caps, Seals, Inserts",Vial Kits,"clearcrimpstandardrubber_sm.jpg, clearcrimpstandardrubber.jpg, VialKit_CrimpTopWide.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Crimp Top,Cap/Seal Size,11 mm,Cap Material,Aluminum,Cap Color,Silver,Seal Material,PTFE/Red Rubber,Insert Size,,Mouth Style,Standard Opening,Vial Material,Clear Glass,Silanized/Deactivated,Yes,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,Clear/Orange,Qty/pk,100
