SKU,Varian Part #,J&W Liner #,Agilent Part #,Phenomenex Part #,Restek Liner #,SGE Liner #,CRS Part #,Perkin Elmer Part #,SGE Part #,Similar to,Name,Description,Categories,Use:,Qty/pk,Price,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s)
392611910,,,,,,,,,,,Capillary Nut for Varian 1078 Injector Brass Column Scale Nut,• Fit jacketed ferrules,Accessories,GC,1,10,"Capillarynuts_sm.jpg, Capillarynuts.jpg",Use,GC,Qty/pk,1,Similar to,
392611910-25,,,,,,,,,,,Capillary Nut for Varian 1078 Injector Brass Column Scale Nut,• Fit jacketed ferrules,Accessories,GC,25,200,"Capillarynuts_sm.jpg, Capillarynuts.jpg",Use,GC,Qty/pk,25,Similar to,
190015800,,,5181-8836,,,,,,,5181-8836,Ceramic Scoring Wafer w/Delrin Holder,"• High Quality Ceramic Cutting Tool for Cutting Fused Silica Columns
• Removable Delrin Gripping Handle for Ease of use
• Four Straight Scoring Edges",Accessories,GC,1,5,"ScoringWafers_sm.jpg, ScoringWafers.jpg",Use,GC,Qty/pk,1,Similar to,5181-8836
190015800-5,,,5181-8836,,,,,,,5181-8836,Ceramic Scoring Wafer w/Delrin Holder,"• High Quality Ceramic Cutting Tool for Cutting Fused Silica Columns
• Removable Delrin Gripping Handle for Ease of use
• Four Straight Scoring Edges",Accessories,GC,5,15,"ScoringWafers_sm.jpg, ScoringWafers.jpg",Use,GC,Qty/pk,5,Similar to,5181-8836
190015800NH,,,5181-8836,,,,,,,5181-8836,"High Quality Ceramic Scoring Tool for cutting Fused Silica Columns, 1""x1""","• High Quality Ceramic Cutting Tool for Cutting Fused Silica Columns
• Four Straight Scoring Edges",Accessories,GC,1,4,"ScoringWafers_sm.jpg, ScoringWafers.jpg",Use,GC,Qty/pk,1,Similar to,5181-8836
190015800NH-5,,,5181-8836,,,,,,,5181-8836,"High Quality Ceramic Scoring Tool for cutting Fused Silica Columns, 1""x1""","• High Quality Ceramic Cutting Tool for Cutting Fused Silica Columns
• Four Straight Scoring Edges",Accessories,GC,5,12.5,"ScoringWafers_sm.jpg, ScoringWafers.jpg",Use,GC,Qty/pk,5,Similar to,5181-8836
393706201,,,,,,,,,,,"Aluminum Oxide Powder, 100g","• Cleaning and Maintenance For GC/MS 
• Specialty Abrasive Powder
• Mass Spectrometer Cleaning
• Recommended By Major Instrument Manufacturers
• Packaged in Glass Wide Mouth Bottle",Accessories,GC,1,25,"AluminumOxide_sm.jpg, AluminumOxide.jpg",Use,GC,Qty/pk,1,Similar to,
392524701,,,,,,,,,,,"Column Wire Rack Assembly, 450-GC, A-Frame","• Use with Agilent, Bruker, and Varian Gas Chromatographs
• .125” (3.175 mm) O.D. Wire
• 304 Stainless Steel Wire Construction",Accessories,GC,1,37,"WireRack392524701_sm.jpg, WireRack392524701.jpg",Use,GC,Qty/pk,1,Similar to,
392524702,,,,,,,,,,,"MN Rack, Special Valve","• Use with Agilent, Bruker, and Varian Gas Chromatographs
• .125” (3.175 mm) O.D. Wire
• 304 Stainless Steel Wire Construction",Accessories,GC,1,37,"WireRack_392524702_sm.jpg, WireRack_392524702.jpg",Use,GC,Qty/pk,1,Similar to,
393315101,,,,,,,,,,,Column Rack Assembly,"• Use with Agilent, Bruker, and Varian Gas Chromatographs
• .125” (3.175 mm) O.D. Wire
• 304 Stainless Steel Wire Construction",Accessories,GC,1,37,"WireRack_393315101_sm.jpg, WireRack_393315101.jpg",Use,GC,Qty/pk,1,Similar to,
