SKU,GCFerrules Part #,Varian Part #,J&W Liner #,Agilent Part #,Phenomenex Part #,Restek Liner #,SGE Liner #,CRS Part #,Perkin Elmer Part #,SGE Part #,Similar to,Name,Description,Material,Benefits/Uses,Categories,OD,ID,Length,Fits Injector Port,Fits GC Model,Volume (μL),Qty/pk,Price,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s),Attribute 6 name,Attribute 6 value(s),Attribute 7 name,Attribute 7 value(s),Attribute 8 name,Attribute 8 value(s),Attribute 9 name,Attribute 9 value(s)
190010901,190010901,01-900109-01,,"8004-0163, 8004-0111",,,92021,,,,"01-900109-01, 8004-0163, 8004-0111, 092021","GC Inlet Liner w/FS Wool, 1075/1077, Split","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Clean, Non-adsorptive/Non-reactive Surface
• Glass Wool is Deactivated With Our Proprietary Deactivation Process
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive",Deactivated Borosilicate,"Universal, use with rapid autosamplers",GC Inlet Liners,6.3 mm,4 mm,72 mm,Varian 1075/1077,Varian/Bruker,1000,5,$115.00,"190010901_sm.jpg, 190010901.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,"Universal, use with rapid autosamplers",OD,6.3 mm,ID,4 mm,Length,72 mm,Fits Injector Port,Varian 1075/1077,Fits GC Model,Varian/Bruker,Volume (μL),1000,Qty/pk,5,Similar to,"01-900109-01, 8004-0163, 8004-0111, 092021"
190010901-25,190010901-25,,,,,,,,,,,"GC Inlet Liner w/FS Wool, 1075/1077, Split","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Clean, Non-adsorptive/Non-reactive Surface
• Glass Wool is Deactivated With Our Proprietary Deactivation Process
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive",Deactivated Borosilicate,"Universal, use with rapid autosamplers",GC Inlet Liners,6.3 mm,4 mm,72 mm,Varian 1075/1077,Varian/Bruker,1000,25,$550.00,"190010901_sm.jpg, 190010901.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,"Universal, use with rapid autosamplers",OD,6.3 mm,ID,4 mm,Length,72 mm,Fits Injector Port,Varian 1075/1077,Fits GC Model,Varian/Bruker,Volume (μL),1000,Qty/pk,25,Similar to,
190010902,190010902,01-900109-02,,,,,,,,,01-900109-02,"Laminar Cap Splitter GC Inlet Liner, 1075/1077","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Clean, Non-adsorptive/Non-reactive Surface
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive",Deactivated Borosilicate,High MW compounds,GC Inlet Liners,6.3 mm,4 mm,72 mm,Varian 1075/1077,Varian/Bruker,1000,5,$215.00,"190010902_sm.jpg, 190010902.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,High MW compounds,OD,6.3 mm,ID,4 mm,Length,72 mm,Fits Injector Port,Varian 1075/1077,Fits GC Model,Varian/Bruker,Volume (μL),1000,Qty/pk,5,Similar to,01-900109-02
190010902-25,190010902-25,,,,,,,,,,,"Laminar Cap Splitter GC Inlet Liner, 1075/1077","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Clean, Non-adsorptive/Non-reactive Surface
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive",Deactivated Borosilicate,High MW compounds,GC Inlet Liners,6.3 mm,4 mm,72 mm,Varian 1075/1077,Varian/Bruker,1000,25,"$1,040.00","190010902_sm.jpg, 190010902.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,High MW compounds,OD,6.3 mm,ID,4 mm,Length,72 mm,Fits Injector Port,Varian 1075/1077,Fits GC Model,Varian/Bruker,Volume (μL),1000,Qty/pk,25,Similar to,
190010903,190010903,16-000830-01,,,,,,,,,16-000830-01,"Frit Splitter GC Inlet Liner, 1075/1077","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Clean, Non-adsorptive/Non-reactive Surface
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive",Deactivated Borosilicate,"Dirty samples, non-active compounds",GC Inlet Liners,6.3 mm,4 mm,72 mm,Varian 1075/1077,Varian/Bruker,1000,5,$120.00,"190010903_sm.jpg, 190010903.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,"Dirty samples, non-active compounds",OD,6.3 mm,ID,4 mm,Length,72 mm,Fits Injector Port,Varian 1075/1077,Fits GC Model,Varian/Bruker,Volume (μL),1000,Qty/pk,5,Similar to,16-000830-01
190010903-25,190010903-25,,,,,,,,,,,"Frit Splitter GC Inlet Liner, 1075/1077","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Clean, Non-adsorptive/Non-reactive Surface
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive",Deactivated Borosilicate,"Dirty samples, non-active compounds",GC Inlet Liners,6.3 mm,4 mm,72 mm,Varian 1075/1077,Varian/Bruker,1000,25,$575.00,"190010903_sm.jpg, 190010903.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,"Dirty samples, non-active compounds",OD,6.3 mm,ID,4 mm,Length,72 mm,Fits Injector Port,Varian 1075/1077,Fits GC Model,Varian/Bruker,Volume (μL),1000,Qty/pk,25,Similar to,
190010904,190010904,16-000829-00,,,,,,,,,16-000829-00,"Baffle Splitter GC Inlet Liner, 1075/1077","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Clean, Non-adsorptive/Non-reactive Surface
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive",Deactivated Borosilicate,Compounds with close boiling points,GC Inlet Liners,6.3 mm,4 mm,72 mm,Varian 1075/1077,Varian/Bruker,1000,5,$100.00,"190010904_sm.jpg, 190010904.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,Compounds with close boiling points,OD,6.3 mm,ID,4 mm,Length,72 mm,Fits Injector Port,Varian 1075/1077,Fits GC Model,Varian/Bruker,Volume (μL),1000,Qty/pk,5,Similar to,16-000829-00
190010904-25,190010904-25,,,,,,,,,,,"Baffle Splitter GC Inlet Liner, 1075/1077","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Clean, Non-adsorptive/Non-reactive Surface
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive",Deactivated Borosilicate,Compounds with close boiling points,GC Inlet Liners,6.3 mm,4 mm,72 mm,Varian 1075/1077,Varian/Bruker,1000,25,$475.00,"190010904_sm.jpg, 190010904.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,Compounds with close boiling points,OD,6.3 mm,ID,4 mm,Length,72 mm,Fits Injector Port,Varian 1075/1077,Fits GC Model,Varian/Bruker,Volume (μL),1000,Qty/pk,25,Similar to,
190010905,190010905,03-949437-90,,,,,,,,,03-949437-90,"GC Inlet Liner, 1075/1077, 2 mm ID, Splitless","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Clean, Non-adsorptive/Non-reactive Surface
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive",Deactivated Borosilicate,Trace samples <2μL,GC Inlet Liners,6.3 mm,2 mm,74 mm,Varian 1075/1077,Varian/Bruker,250,5,$110.00,"190010905_sm.jpg, 190010905.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,Trace samples <2μL,OD,6.3 mm,ID,2 mm,Length,74 mm,Fits Injector Port,Varian 1075/1077,Fits GC Model,Varian/Bruker,Volume (μL),250,Qty/pk,5,Similar to,03-949437-90
190010905-25,190010905-25,,,,,,,,,,,"GC Inlet Liner, 1075/1077, 2 mm ID, Splitless","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Clean, Non-adsorptive/Non-reactive Surface
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive",Deactivated Borosilicate,Trace samples <2μL,GC Inlet Liners,6.3 mm,2 mm,74 mm,Varian 1075/1077,Varian/Bruker,250,25,$500.00,"190010905_sm.jpg, 190010905.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,Trace samples <2μL,OD,6.3 mm,ID,2 mm,Length,74 mm,Fits Injector Port,Varian 1075/1077,Fits GC Model,Varian/Bruker,Volume (μL),250,Qty/pk,25,Similar to,
