SKU,GCFerrules Part #,Varian Part #,J&W Liner #,Agilent Part #,Phenomenex Part #,Restek Liner #,SGE Liner #,CRS Part #,Perkin Elmer Part #,SGE Part #,Similar to,Name,Description,Categories,Size,Temp. Rating,Guide Hole,Molded Septa,Bleed,Fits Instrument,Qty/pk,Price,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s),Attribute 6 name,Attribute 6 value(s),Attribute 7 name,Attribute 7 value(s)
392611679,392611679,,,,,,,,,,392611679,Premium High Temp/Low Bleed Septa 5 mm (3/16 in.),"• Injector Temperature 400°C 
• Conditioned For High Sensitivity Analysis 
• Lowest Bleed When Tested Against The Competition
• Long Injector Life, 170 + Injections 
• Carefully chosen to meet the varied requirements of gas chromatographic analyses 
• Packaged in Wide Mouth Glass Bottles",GC Septa,5 mm (3/16 in.),400°C,No,No,Low Bleed,"Agilent (HP ) On-Column Injection, Agilent (HP) Capillary",50,50,"Septahitemp11mmbrorange_sm.jpg, Septahitemp11mmbrorange.jpg",Size,5 mm (3/16 in.),Temp. Rating,400°C,Guide Hole,No,Molded Septa,No,Bleed,Low Bleed,Fits Instrument,"Agilent (HP ) On-Column Injection, Agilent (HP) Capillary",Qty/pk,50,Similar to,392611679
392611679-100,392611679-100,392611680,,,,,,,,,"392611679-100, 392611680",Premium High Temp/Low Bleed Septa 5 mm (3/16 in.),"• Injector Temperature 400°C 
• Conditioned For High Sensitivity Analysis 
• Lowest Bleed When Tested Against The Competition
• Long Injector Life, 170 + Injections 
• Carefully chosen to meet the varied requirements of gas chromatographic analyses 
• Packaged in Wide Mouth Glass Bottles",GC Septa,5 mm (3/16 in.),400°C,No,No,Low Bleed,"Agilent (HP ) On-Column Injection, Agilent (HP) Capillary",100,100,"Septahitemp11mmbrorange_sm.jpg, Septahitemp11mmbrorange.jpg",Size,5 mm (3/16 in.),Temp. Rating,400°C,Guide Hole,No,Molded Septa,No,Bleed,Low Bleed,Fits Instrument,"Agilent (HP ) On-Column Injection, Agilent (HP) Capillary",Qty/pk,100,Similar to,"392611679-100, 392611680"
392611681,392611681,,,,,,,,,,392611681,Premium High Temp/Low Bleed Septa 9 mm (11/32 in.),"• Injector Temperature 400°C 
• Conditioned For High Sensitivity Analysis 
• Lowest Bleed When Tested Against The Competition
• Long Injector Life, 170 + Injections 
• Carefully chosen to meet the varied requirements of gas chromatographic analyses 
• Packaged in Wide Mouth Glass Bottles",GC Septa,9 mm (11/32 in.),400°C,No,No,Low Bleed,"Varian/Bruker 1177, Thermo Scientific Large Volume Splitless Injector",50,50,"Septahitemp11mmbrorange_sm.jpg, Septahitemp11mmbrorange.jpg",Size,9 mm (11/32 in.),Temp. Rating,400°C,Guide Hole,No,Molded Septa,No,Bleed,Low Bleed,Fits Instrument,"Varian/Bruker 1177, Thermo Scientific Large Volume Splitless Injector",Qty/pk,50,Similar to,392611681
392611681-100,392611681-100,392611682,,,,,,,,,"392611681-100, 392611682",Premium High Temp/Low Bleed Septa 9 mm (11/32 in.),"• Injector Temperature 400°C 
• Conditioned For High Sensitivity Analysis 
• Lowest Bleed When Tested Against The Competition
• Long Injector Life, 170 + Injections 
• Carefully chosen to meet the varied requirements of gas chromatographic analyses 
• Packaged in Wide Mouth Glass Bottles",GC Septa,9 mm (11/32 in.),400°C,No,No,Low Bleed,"Varian/Bruker 1177, Thermo Scientific Large Volume Splitless Injector",100,100,"Septahitemp11mmbrorange_sm.jpg, Septahitemp11mmbrorange.jpg",Size,9 mm (11/32 in.),Temp. Rating,400°C,Guide Hole,No,Molded Septa,No,Bleed,Low Bleed,Fits Instrument,"Varian/Bruker 1177, Thermo Scientific Large Volume Splitless Injector",Qty/pk,100,Similar to,"392611681-100, 392611682"
392611683,392611683,,,,,,,,,,392611683,Premium High Temp/Low Bleed Septa 9.5 mm (3/8 in.),"• Injector Temperature 400°C 
• Conditioned For High Sensitivity Analysis 
• Lowest Bleed When Tested Against The Competition
• Long Injector Life, 170 + Injections 
• Carefully chosen to meet the varied requirements of gas chromatographic analyses 
• Packaged in Wide Mouth Glass Bottles",GC Septa,9.5 mm (3/8 in.),400°C,No,No,Low Bleed,"Varian/Bruker Packed Column, Varian/Bruker 1040, Varian/Bruker 1041, Varian/Bruker 1060, Varian/Bruker 1061, Agilent (HP) 5700, Agilent (HP) 5880, Agilent (HP) 5890, Agilent (HP) 6890, Agilent (HP) 6900, Tracor 550, Tracor 560, Finnigan (TMQ) GC 9001, Finnigan (TMQ) 9600, Finnigan (TMQ) GCQ, Finnigan (TMQ) QCQ, Finnigan (TMQ) TRACE 2000, Thermo Scientific GCQ, Thermo Scientific 9100, Gow Mac All Other Models, HNU Portable GC, Antek All Models, SRI Models With Heated Inlets",50,50,"Septahitemp11mmbrorange_sm.jpg, Septahitemp11mmbrorange.jpg",Size,9.5 mm (3/8 in.),Temp. Rating,400°C,Guide Hole,No,Molded Septa,No,Bleed,Low Bleed,Fits Instrument,"Varian/Bruker Packed Column, Varian/Bruker 1040, Varian/Bruker 1041, Varian/Bruker 1060, Varian/Bruker 1061, Agilent (HP) 5700, Agilent (HP) 5880, Agilent (HP) 5890, Agilent (HP) 6890, Agilent (HP) 6900, Tracor 550, Tracor 560, Finnigan (TMQ) GC 9001, Finnigan (TMQ) 9600, Finnigan (TMQ) GCQ, Finnigan (TMQ) QCQ, Finnigan (TMQ) TRACE 2000, Thermo Scientific GCQ, Thermo Scientific 9100, Gow Mac All Other Models, HNU Portable GC, Antek All Models, SRI Models With Heated Inlets",Qty/pk,50,Similar to,392611683
392611683-100,392611683-100,392611684,,,,,,,,,"392611683-100, 392611684",Premium High Temp/Low Bleed Septa 9.5 mm (3/8 in.),"• Injector Temperature 400°C 
• Conditioned For High Sensitivity Analysis 
• Lowest Bleed When Tested Against The Competition
• Long Injector Life, 170 + Injections 
• Carefully chosen to meet the varied requirements of gas chromatographic analyses 
• Packaged in Wide Mouth Glass Bottles",GC Septa,9.5 mm (3/8 in.),400°C,No,No,Low Bleed,"Varian/Bruker Packed Column, Varian/Bruker 1040, Varian/Bruker 1041, Varian/Bruker 1060, Varian/Bruker 1061, Agilent (HP) 5700, Agilent (HP) 5880, Agilent (HP) 5890, Agilent (HP) 6890, Agilent (HP) 6900, Tracor 550, Tracor 560, Finnigan (TMQ) GC 9001, Finnigan (TMQ) 9600, Finnigan (TMQ) GCQ, Finnigan (TMQ) QCQ, Finnigan (TMQ) TRACE 2000, Thermo Scientific GCQ, Thermo Scientific 9100, Gow Mac All Other Models, HNU Portable GC, Antek All Models, SRI Models With Heated Inlets",100,100,"Septahitemp11mmbrorange_sm.jpg, Septahitemp11mmbrorange.jpg",Size,9.5 mm (3/8 in.),Temp. Rating,400°C,Guide Hole,No,Molded Septa,No,Bleed,Low Bleed,Fits Instrument,"Varian/Bruker Packed Column, Varian/Bruker 1040, Varian/Bruker 1041, Varian/Bruker 1060, Varian/Bruker 1061, Agilent (HP) 5700, Agilent (HP) 5880, Agilent (HP) 5890, Agilent (HP) 6890, Agilent (HP) 6900, Tracor 550, Tracor 560, Finnigan (TMQ) GC 9001, Finnigan (TMQ) 9600, Finnigan (TMQ) GCQ, Finnigan (TMQ) QCQ, Finnigan (TMQ) TRACE 2000, Thermo Scientific GCQ, Thermo Scientific 9100, Gow Mac All Other Models, HNU Portable GC, Antek All Models, SRI Models With Heated Inlets",Qty/pk,100,Similar to,"392611683-100, 392611684"
392611685,392611685,,,,,,,,,,392611685,Premium High Temp/Low Bleed Septa 11 mm (7/16 in.),"• Injector Temperature 400°C 
• Conditioned For High Sensitivity Analysis 
• Lowest Bleed When Tested Against The Competition
• Long Injector Life, 170 + Injections 
• Carefully chosen to meet the varied requirements of gas chromatographic analyses 
• Packaged in Wide Mouth Glass Bottles",GC Septa,11 mm (7/16 in.),400°C,No,No,Low Bleed,"Varian/Bruker 1075, Varian/Bruker 1077, Varian/Bruker 3700 Vista, Varian/Bruker Capillary Injectors, Varian/Bruker Saturn GC/MS, Agilent (HP) 5880A, Agilent (HP) 5890, Agilent (HP) 6850, Agilent (HP) 6890, Agilent (HP) 7890, Agilent (HP) PTV, Agilent (HP) Purged Pack Column, Perkin Elmer Sigma Series, Perkin Elmer 900, Perkin Elmer 990, Perkin Elmer 8000 Series, Perkin Elmer Auto SYS, Perkin Elmer Auto SYS XL, Perkin Elmer Clarus 500, Thermo Scientific TRACE 1300 Series, Thermo Scientific Purged Packed Column Injector, Thermo Scientific Packed Column Injector, Gow Mac 6890 Series",50,50,"Septahitemp11mmbrorange_sm.jpg, Septahitemp11mmbrorange.jpg",Size,11 mm (7/16 in.),Temp. Rating,400°C,Guide Hole,No,Molded Septa,No,Bleed,Low Bleed,Fits Instrument,"Varian/Bruker 1075, Varian/Bruker 1077, Varian/Bruker 3700 Vista, Varian/Bruker Capillary Injectors, Varian/Bruker Saturn GC/MS, Agilent (HP) 5880A, Agilent (HP) 5890, Agilent (HP) 6850, Agilent (HP) 6890, Agilent (HP) 7890, Agilent (HP) PTV, Agilent (HP) Purged Pack Column, Perkin Elmer Sigma Series, Perkin Elmer 900, Perkin Elmer 990, Perkin Elmer 8000 Series, Perkin Elmer Auto SYS, Perkin Elmer Auto SYS XL, Perkin Elmer Clarus 500, Thermo Scientific TRACE 1300 Series, Thermo Scientific Purged Packed Column Injector, Thermo Scientific Packed Column Injector, Gow Mac 6890 Series",Qty/pk,50,Similar to,392611685
392611685-100,392611685-100,392611686,,,,,,,,,"392611685-100, 392611686",Premium High Temp/Low Bleed Septa 11 mm (7/16 in.),"• Injector Temperature 400°C 
• Conditioned For High Sensitivity Analysis 
• Lowest Bleed When Tested Against The Competition
• Long Injector Life, 170 + Injections 
• Carefully chosen to meet the varied requirements of gas chromatographic analyses 
• Packaged in Wide Mouth Glass Bottles",GC Septa,11 mm (7/16 in.),400°C,No,No,Low Bleed,"Varian/Bruker 1075, Varian/Bruker 1077, Varian/Bruker 3700 Vista, Varian/Bruker Capillary Injectors, Varian/Bruker Saturn GC/MS, Agilent (HP) 5880A, Agilent (HP) 5890, Agilent (HP) 6850, Agilent (HP) 6890, Agilent (HP) 7890, Agilent (HP) PTV, Agilent (HP) Purged Pack Column, Perkin Elmer Sigma Series, Perkin Elmer 900, Perkin Elmer 990, Perkin Elmer 8000 Series, Perkin Elmer Auto SYS, Perkin Elmer Auto SYS XL, Perkin Elmer Clarus 500, Thermo Scientific TRACE 1300 Series, Thermo Scientific Purged Packed Column Injector, Thermo Scientific Packed Column Injector, Gow Mac 6890 Series",100,100,"Septahitemp11mmbrorange_sm.jpg, Septahitemp11mmbrorange.jpg",Size,11 mm (7/16 in.),Temp. Rating,400°C,Guide Hole,No,Molded Septa,No,Bleed,Low Bleed,Fits Instrument,"Varian/Bruker 1075, Varian/Bruker 1077, Varian/Bruker 3700 Vista, Varian/Bruker Capillary Injectors, Varian/Bruker Saturn GC/MS, Agilent (HP) 5880A, Agilent (HP) 5890, Agilent (HP) 6850, Agilent (HP) 6890, Agilent (HP) 7890, Agilent (HP) PTV, Agilent (HP) Purged Pack Column, Perkin Elmer Sigma Series, Perkin Elmer 900, Perkin Elmer 990, Perkin Elmer 8000 Series, Perkin Elmer Auto SYS, Perkin Elmer Auto SYS XL, Perkin Elmer Clarus 500, Thermo Scientific TRACE 1300 Series, Thermo Scientific Purged Packed Column Injector, Thermo Scientific Packed Column Injector, Gow Mac 6890 Series",Qty/pk,100,Similar to,"392611685-100, 392611686"
392611687,392611687,,,,,,,,,,392611687,Premium High Temp/Low Bleed Septa 11.5 mm (11/24 in.),"• Injector Temperature 400°C 
• Conditioned For High Sensitivity Analysis 
• Lowest Bleed When Tested Against The Competition
• Long Injector Life, 170 + Injections 
• Carefully chosen to meet the varied requirements of gas chromatographic analyses 
• Packaged in Wide Mouth Glass Bottles",GC Septa,11.5 mm (11/24 in.),400°C,No,No,Low Bleed,"Varian/Bruker 1078, Varian/Bruker 1079, Varian/Bruker 1093, Varian/Bruker 1094 SPI, Varian/Bruker Saturn GC/MS, Tracor 540",50,50,"Septahitemp11mmbrorange_sm.jpg, Septahitemp11mmbrorange.jpg",Size,11.5 mm (11/24 in.),Temp. Rating,400°C,Guide Hole,No,Molded Septa,No,Bleed,Low Bleed,Fits Instrument,"Varian/Bruker 1078, Varian/Bruker 1079, Varian/Bruker 1093, Varian/Bruker 1094 SPI, Varian/Bruker Saturn GC/MS, Tracor 540",Qty/pk,50,Similar to,392611687
392611687-100,392611687-100,392611688,,,,,,,,,"392611687-100, 392611688",Premium High Temp/Low Bleed Septa 11.5 mm (11/24 in.),"• Injector Temperature 400°C 
• Conditioned For High Sensitivity Analysis 
• Lowest Bleed When Tested Against The Competition
• Long Injector Life, 170 + Injections 
• Carefully chosen to meet the varied requirements of gas chromatographic analyses 
• Packaged in Wide Mouth Glass Bottles",GC Septa,11.5 mm (11/24 in.),400°C,No,No,Low Bleed,"Varian/Bruker 1078, Varian/Bruker 1079, Varian/Bruker 1093, Varian/Bruker 1094 SPI, Varian/Bruker Saturn GC/MS, Tracor 540",100,100,"Septahitemp11mmbrorange_sm.jpg, Septahitemp11mmbrorange.jpg",Size,11.5 mm (11/24 in.),Temp. Rating,400°C,Guide Hole,No,Molded Septa,No,Bleed,Low Bleed,Fits Instrument,"Varian/Bruker 1078, Varian/Bruker 1079, Varian/Bruker 1093, Varian/Bruker 1094 SPI, Varian/Bruker Saturn GC/MS, Tracor 540",Qty/pk,100,Similar to,"392611687-100, 392611688"
